ID,BLOCK
45,54
46,54
47,54
48,54
49,54
50,54
52,54
53,54
54,54
55,54
56,54
57,54
58,54
59,54
60,54
61,54
62,54
63,54
64,54
65,54
66,54
67,54
68,54
69,54
70,54
71,54
72,54
73,54
74,54
75,54
76,54
77,54
2,54
435,54
1,54
137,54
203,54
202,54
201,54
200,54
199,54
198,54
197,54
196,54
195,54
439,54
438,54
437,54
436,54
194,54
193,54
192,54
191,54
190,54
189,54
188,54
187,54
186,54
185,54
184,54
183,54
182,54
181,54
180,54
179,54
178,54
177,54
176,54
175,54
155,54
174,54
173,54
172,54
171,54
170,54
169,54
168,54
167,54
166,54
165,54
164,54
163,54
162,54
161,54
160,54
159,54
158,54
157,54
156,54
154,54
153,54
152,54
151,54
150,54
149,54
148,54
147,54
146,54
145,54
144,54
143,54
142,54
141,54
140,54
139,54
138,54
136,54
135,54
134,54
133,54
132,54
131,54
130,54
1318,54
1319,54
1320,54
1321,54
1322,54
432,55
433,55
434,55
209,55
204,55
205,55
206,55
207,55
208,55
210,55
211,55
212,55
213,55
214,55
215,55
216,55
217,55
218,55
219,55
220,55
221,55
222,55
223,55
224,55
225,55
226,55
227,55
228,55
229,55
230,55
231,55
232,55
233,55
234,55
235,55
236,55
237,55
238,55
239,55
240,55
241,55
242,55
243,55
244,55
245,55
246,55
247,55
248,55
249,55
250,55
251,55
252,55
253,55
254,55
255,55
256,55
257,55
258,55
259,55
260,55
261,55
262,55
263,55
264,55
265,55
266,55
267,55
268,55
269,55
270,55
271,55
272,55
273,55
274,55
275,55
276,55
277,55
278,55
279,55
280,55
425,55
426,55
427,55
428,55
429,55
430,55
431,55
1323,55
1324,55
1325,55
1326,55
1327,55
303,56
312,56
311,56
310,56
309,56
308,56
307,56
306,56
305,56
304,56
1328,56
302,56
301,56
300,56
299,56
298,56
297,56
296,56
295,56
294,56
293,56
292,56
291,56
290,56
289,56
288,56
287,56
286,56
285,56
284,56
283,56
282,56
281,56
418,56
424,56
423,56
422,56
421,56
420,56
419,56
417,56
416,56
415,56
1331,56
1330,56
1329,56
317,56
316,56
315,56
314,56
313,56
321,57
320,57
319,57
318,57
1333,57
414,57
413,57
412,57
411,57
410,57
409,57
408,57
407,57
406,57
405,57
404,57
403,57
1334,57
1336,57
1335,57
1332,57
341,57
340,57
339,57
338,57
337,57
336,57
335,57
334,57
333,57
332,57
331,57
330,57
329,57
328,57
327,57
326,57
325,57
324,57
323,57
322,57
344,58
398,58
397,58
396,58
395,58
394,58
393,58
355,58
354,58
353,58
352,58
351,58
350,58
349,58
348,58
347,58
346,58
345,58
392,58
343,58
342,58
391,58
402,58
401,58
400,58
399,58
1338,58
389,58
390,58
1337,58
1339,58
1340,58
1341,58
1342,58
381,59
380,59
379,59
378,59
377,59
376,59
375,59
374,59
373,59
372,59
371,59
370,59
369,59
368,59
367,59
366,59
365,59
364,59
387,59
361,59
360,59
359,59
385,59
384,59
383,59
386,59
382,59
358,59
388,59
357,59
356,59
362,59
363,59
1343,59
1344,59
1345,59
1346,59
1347,59
1348,60
1349,60
1350,60
1351,60
1352,60
1353,61
1354,61
1355,61
1356,61
1357,61
1358,62
1359,62
1360,62
1361,62
1362,62
1363,63
1364,63
1365,63
1366,63
1367,63
1368,64
1369,64
1370,64
1371,64
1372,64
1373,64
1374,65
1375,65
1376,65
1377,65
1378,65
1379,66
1380,66
1381,66
1382,66
1383,66
1384,67
1385,67
1386,67
1387,67
1388,67
1389,67
1390,68
1391,68
1392,68
1393,68
1394,68
1395,69
1396,69
1397,69
1398,69
1399,69
1400,70
1401,70
1402,70
1403,70
1404,70
1405,71
1406,71
1407,71
1408,71
1409,71
1410,72
1411,72
1412,72
1413,72
1414,72
1415,73
1416,73
1417,73
1418,73
1419,73
1420,74
1421,74
1422,74
1423,74
1424,74
1425,74
1426,75
1427,75
1428,75
1429,75
1430,75
1431,76
1432,76
1433,76
1434,76
1435,77
1436,77
1437,77
1438,77
1439,77
1440,78
1441,78
1442,78
1443,78
1444,78
1445,79
1446,79
1447,79
1448,79
1449,79
1450,80
1451,80
1452,80
1453,80
1454,80
1455,81
1456,81
1457,81
1458,81
1459,81
1460,81
1461,82
1462,82
1463,82
1464,82
1465,82
1466,83
1467,83
1468,83
1469,83
1470,83
1471,84
1472,84
1473,84
1474,84
1475,84
1476,85
1477,85
1478,85
1479,85
1480,85
1481,86
1482,86
1483,86
1484,86
1485,86
1486,87
1487,87
1488,87
1489,87
1490,87
1491,88
1492,88
1493,88
1494,88
1495,88
1496,89
1497,89
1498,89
1499,89
1500,89
1501,90
1502,90
1503,90
1504,90
1505,90
1506,91
1507,91
1508,91
